Código de instalación;Código de compañía;Cod Alternat;Códigos Calculados;Artic Padre;Cod Pre-pack;Ratio de preempacado;Unidades de empacado;Cod EAN Prod;Parte b;Parte c;Parte d;Parte e;Parte f;Total de LPN de salida;Total Act;Activa asignada;Activa disponible;Total de LPN de entrada;LPN de entrada asignada;LPN de entrada disponible;LPN de entrada sin verificar;Total asignado;Total disponible;Total de inventario;Resumen de inventario interno;Unidades secundarias de resumen de inventario interno;Cantidad de orden abierta
B100;FARMACORP;="7771817081515";="7771817081515";False;;0;0;="7771817081515";;;;;;0;0;0;0;3;0;3;0;0;3;3;3;3;0
B100;FARMACORP;="7771817081539";="7771817081539";False;;0;0;="7771817081539";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771817082031";="7771817082031";False;;0;0;="7771817082031";;;;;;0;0;0;0;1;0;0;0;0;0;1;1;1;0
B100;FARMACORP;="7771817082055";="7771817082055";False;;0;0;="7771817082055";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771817180034";="7771817180034";False;;0;0;="7771817180034";;;;;;0;0;0;0;3;0;3;0;0;3;3;3;3;0
B100;FARMACORP;="7771817180355";="7771817180355";False;;0;0;="7771817180355";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771817180386";="7771817180386";False;;0;0;="7771817180386";;;;;;0;0;0;0;2;0;2;0;0;2;2;2;2;0
B100;FARMACORP;="7771817180447";="7771817180447";False;;0;0;="7771817180447";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771817180485";="7771817180485";False;;0;0;="7771817180485";;;;;;0;0;0;0;3;0;0;0;0;0;3;3;3;6
B100;FARMACORP;="7771817180522";="7771817180522";False;;0;0;="7771817180522";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771817180881";="7771817180881";False;;0;0;="7771817180881";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771817180959";="7771817180959";False;;0;0;="7771817180959";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771817180966";="7771817180966";False;;0;0;="7771817180966";;;;;;0;0;0;0;2;0;2;0;0;2;2;2;2;0
B100;FARMACORP;="7771817640040";="7771817640040";False;;0;0;="7771817640040";;;;;;0;0;0;0;5;0;5;0;0;5;5;5;5;0
B100;FARMACORP;="7771817640071";="7771817640071";False;;0;0;="7771817640071";;;;;;0;0;0;0;5;0;5;0;0;5;5;5;5;0
B100;FARMACORP;="7771817640088";="7771817640088";False;;0;0;="7771817640088";;;;;;30;0;0;0;339;0;339;0;0;339;339;369;369;0
B100;FARMACORP;="7771817730116";="7771817730116";False;;0;0;="7771817730116";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7771817730192";="7771817730192";False;;0;0;="7771817730192";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7772106002877";="7772106002877";False;;0;0;="7772106002877";;;;;;0;0;0;0;150;0;0;0;0;0;150;150;150;0
B100;FARMACORP;="7772106002907";="7772106002907";False;;0;0;="7772106002907";;;;;;0;0;0;0;144;0;144;0;0;144;144;144;144;0
B100;FARMACORP;="7772106007438";="7772106007438";False;;0;0;="7772106007438";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7772106008701";="7772106008701";False;;0;0;="7772106008701";;;;;;0;0;0;0;120;0;120;0;0;120;120;120;120;0
B100;FARMACORP;="7772106008848";="7772106008848";False;;0;0;="7772106008848";;;;;;0;0;0;0;192;0;192;0;0;192;192;192;192;0
